No.,HubSpot ID,Deal Size,Pending (weeks),Deal Name,Client Name,BU,BDM,Project Type ,Client Type,Market,Deal Type (New Deal and Renewal),Deal Amount,T&M - Requested Head Count  ,T&M - Available Head Count ,Deal Received(MM/DD/YY),Client Meeting,Proposal Sent,Pending,Lost/Canceled,Won,Division,Division 1 - %,Division 2 - %,Pre-Sales PIC,Reasons (Pending/Lost),Notes
3,,,,Capital Motion - Table Reservation,Capital Motion,SMD ,Nhi Lu Thuy,,New Client ,UAE,,,,,7/7/2025,,,,,,Division 1,100%,0%,, ,,
, ,,,,,,,,,,,,,
18,,,,Magic Memory - Selfie productization,Magic Memorries,,Kevin Hoang,Fixed Price,Existing Client,New Deal,,"$59,379.00",,,2/28/2025,,3/14/2025,3/14/2025,,,Division 1,100%,0%,Hieu Tran,,,,,,,14,,,,,,,,,
22,,,,GlobeOSS,GlobeOSS,,Phuong Tran,T&M,New Client,Maylaysia ,New Deal,,,,4/22/2025,,4/23/2025,4/23/2025,,,Division 2,50%,50%,,,,,,,,1,,,,,,,,,
23,,,,Codurance_Freelance Marketplace Platform,Codurance,,Tra Le Thi,T&M,New Client,Germany ,New Deal,,,,5/5/2025,9/26/2024,5/5/2025,5/5/2025,,,Division 1,80%,20%,,,,,,,,0,,,,,,,,,
24,,,,2 PHP (Shopware) CVs for Synaigy,Synaigy,,Nhi Lu Thuy,T&M,New Client,Existing Client,New Deal,,,,5/5/2025,,5/12/2025,5/12/2025,,,Division 2,,,,,,,,,,7,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,7.86,Menzies RFP - SMD BA Required,Menzies RFP ,,Shak Ahmed,Fixed Price,New Client,,New Deal,"$579,000.00",,,5/7/2025,,5/23/2025,5/23/2025,,,Division 1,,,,,,,,,,16,,,,,,,,,
27,,,7.29,,Green Climate Fund (GCF),,Nhi Lu Thuy,T&M,Existing Client,,,,,,5/10/2025,,5/27/2025,,,,Division 1,,,,,,,,,,,,,,,,,,,
28,,,8.29,Angular-Based Supply Chain Platform,ProductDNA,,Begï¿½m Liesch,T&M,New Client,South Korea,New Deal,,,,5/15/2025,,5/20/2025,5/20/2025,,,Division 2,1,0,,,,,,,,5,,,,,,,,,
29,,,6.43,Driver Assist Phase 2,,,,,Existing Client,,Renew deal,"$185,247.00",,,5/16/2025,,6/2/2025,6/2/2025,,,Division 1,,,,,,,,,,17,,,,,,,,,
30,,,,AI Voice Agent,,,Van Nguyen,Fixed Price,,,New Deal,"$10,000.00",,,6/2/2025,,,,,,Division 2,,,,,,,,,,,,,,,,,,,
31,,,,Kieran Mander - Recruitment Website,,,Van Nguyen,Fixed Price,New Business,UK,New Deal,"$40,000.00",,,6/2/2025,,,,,,Division 1,,,,,,,,,,,,,,,,,,,
32,,,5.29,PayNet - T&M - Data Engineer,,,Van Nguyen,T&M,New Business,Malaysia,New Deal,"$10,000.00",,,6/5/2025,,6/10/2025,6/10/2025,,,Division 1,,,,,,,,,,5,,,,,,,,,
33,,,5.86,Fakhruddin Holdings - Proposal for Low cost ESG Reporting Tool,Fakhruddin Holdings,,Shak Ahmed,Fixed Price,,,New Deal,"$13,600.00",,,6/6/2025,,6/6/2025,6/6/2025,,,Division 2,,,,,,,,,,0,,,,,,,,,
34,,,4.43,Allsop,Allsop,,Tra Le Thi,Fixed Price,,,,"$10,000.00",,,6/12/2025,,6/16/2025,6/16/2025,,,Division 1,,,,,,,,,,4,,,,,,,,,
35,,,,HAYSTACK,Haystack,,Van Nguyen,Fixed Price,New Client,Thailand,New Deal,"$10,000.00",,,6/13/2025,,,,,,Division 1,,,,,,,,,,,,,,,,,,,
36,,,,Airtip - React Native App,Airtip,,Van Nguyen,T&M,New Client,UK ,New Deal,,,,6/19/2025,,,,,,Division 2,,,,,,,,,,,,,,,,,,,
37,,,,IPlus Fermax, Fermax,,,Fixed Price,Existing Client,,Renewal,"$492,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,6/19/2025,,,,,,Division 2,,,,,,,,,,,,,,,,,,,
3,,,,Capital Motion - Table Reservation,Capital Motion,SMD ,Nhi Lu Thuy,,New Client ,UAE,,,,,7/7/2025,,,,,,Division 1,100%,0%,, ,,-45845,,,Pending,,,,,,7,2025,,1,1900
40,,,, Sprout Solutions, Sprout Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
